숙소id,지하철id,도보거리(m)
7612456,120,381
7692870,M16,214
7803602,R06,350
7803828,113,221
7806322,A52,282
7698593,M11,845
7698722,A47,809
7615496,L29,2382
7630422,121,163
7823495,131,173
7632731,121,421
7643399,243,850
7645359,G35,99
7837816,G34,811
7843390,L06,815
7734670,613,1027
7647268,N03,1028
7651547,115,344
7746286,225,257
7754697,A47,1008
7843604,A15,427
7856749,A42,243
7860155,R11,109
7968983,L27,346
7972210,L15,570
7760808,B10,87
7768661,118,293
7998338,630,152
7774182,G19,524
7871818,M09,385
7887966,G18,257
7894007,H07,526
7782176,G32,372
8011605,D22,56
7787799,L16,221
7788438,L16,465
7788565,L16,166
8040050,118,260
8045552,R01,1103
8173001,H03,660
8182759,M16,853
8054523,L08,771
8054651,J31,700
8055508,J31,550
8055582,J31,481
8055778,J31,642
8190747,713,586
7915542,F03,343
7919372,248,692
7922158,114,619
8192789,225,215
8206060,G32,434
8208285,L06,1359
8219648,A09,485
8071687,A33,198
8088779,A27,484
8108376,F01,3841
8115321,706,781
8117209,G19,287
8225997,M18,1068
7937553,F34,404
7951281,A43,483
7952963,L05,523
8228217,245,458
8240016,M11,250
8392929,R36,648
8399234,225,347
8127517,F22,85
8131995,633,735
8133275,246,63
8135144,A25,495
8256749,J30,425
8272327,F20,744
8275676,S19,858
8423666,F01,6844
8426874,L05,576
8426915,G05,4675
8151183,M08,371
8152916,111,836
8281889,M13,175
8283594,R36,850
8441969,R03,917
8458966,B08,69
8470281,A12,216
8472812,G26,361
8293281,D25,104
8299030,R36,848
8479799,123,612
8480087,123,609
8484824,R21,198
8167884,L11,946
8588621,248,686
8304809,250,305
8313551,715,1904
8322478,A49,636
8323015,245,346
8589729,S31,1232
8593798,249,672
8597141,712,504
8499719,G18,839
8503392,F12,184
8504666,J29,498
8326389,115,203
8327773,A48,338
8330254,236,250
8511404,F16,67
8515213,725,218
8518051,609,1754
8520094,L05,740
8614204,D26,647
8616888,248,56
8623370,F01,2958
8628425,R32,218
8370236,D28,401
8520667,J29,342
8522395,J30,283
8530517,R34,124
8532358,A46,493
8757920,224,451
8664611,S27,4580
8667280,R34,160
8760442,710,613
8763502,L13,409
8533225,J29,502
8536270,723,882
8554547,D01,291
8776329,D32,488
8683858,701,1910
8684886,R33,519
