숙소id,공항,자동차거리(m)
5681182,LGA,12205
5319785,LGA,13857
5320325,LGA,11433
5320983,LGA,15977
5336588,LGA,9747
5693879,LGA,17312
5695055,LGA,13371
5478741,LGA,13777
5509771,LGA,17404
5511036,LGA,16033
5697237,LGA,14874
5706280,LGA,13572
5715049,LGA,17589
5340262,LGA,7161
5343821,LGA,13382
5352301,LGA,21248
5839268,LGA,17377
5846745,LGA,16464
5519207,LGA,9893
5520934,LGA,11578
5521689,LGA,13372
5536824,LGA,13553
5538410,LGA,23743
5719742,LGA,15792
5856685,LGA,11616
5860123,LGA,14783
5866656,EWR,31750
5748301,LGA,7540
5749237,LGA,17006
5545560,LGA,13571
5567361,LGA,18205
5568524,LGA,22029
5756464,LGA,14181
5762947,LGA,7161
5579240,JFK,8428
5590262,LGA,7429
5592990,LGA,12166
5873714,LGA,14435
5882725,LGA,11879
5884835,LGA,14421
5889379,LGA,11177
5892794,LGA,18778
5897622,LGA,11446
5770483,LGA,15233
5771366,EWR,24005
5593975,LGA,21601
5606308,LGA,12779
5616298,LGA,14931
5783517,LGA,16111
5931103,LGA,13840
5944801,LGA,11125
